subject_id,group,group_size
sub-28788,5,147
sub-29030,6,65
sub-28822,5,147
sub-0051223,0,53
sub-29733,2,83
sub-29742,1,102
sub-29190,2,83
sub-0050986,0,53
sub-29674,3,65
sub-0051026,6,65
sub-0050130,3,65
sub-28992,5,147
sub-0050601,5,147
sub-29799,1,102
sub-29403,5,147
sub-0051011,1,102
sub-0050518,3,65
sub-29881,0,53
sub-28958,5,147
sub-0051202,5,147
sub-30019,5,147
sub-0051017,8,93
sub-0051164,6,65
sub-29111,3,65
sub-0050607,1,102
sub-29664,5,147
sub-0051327,8,93
sub-29869,5,147
sub-29656,8,93
sub-30005,5,147
sub-29013,1,102
sub-0050292,5,147
sub-0050241,2,83
sub-29569,2,83
sub-29096,5,147
sub-29545,4,58
sub-28933,5,147
sub-28824,7,39
sub-0050057,2,83
sub-29203,5,147
sub-0050125,6,65
sub-0051234,5,147
sub-0050291,8,93
sub-0050408,2,83
sub-0050704,1,102
sub-0050248,1,102
sub-30000,7,39
sub-30150,6,65
sub-29587,0,53
sub-29865,4,58
sub-29283,2,83
sub-0051463,2,83
sub-0051325,1,102
sub-0050285,5,147
sub-29183,8,93
sub-29103,2,83
sub-0051171,7,39
sub-0050974,1,102
sub-28754,3,65
sub-0050118,5,147
sub-29481,2,83
sub-28817,5,147
sub-29209,7,39
sub-0050129,2,83
sub-0050483,8,93
sub-0050954,0,53
sub-0050521,1,102
sub-0050748,8,93
sub-29879,2,83
sub-0051576,1,102
sub-0050232,5,147
sub-29658,2,83
sub-0050278,3,65
sub-0051173,3,65
sub-0050999,5,147
sub-0050984,3,65
sub-0050526,4,58
sub-0051229,2,83
sub-28963,5,147
sub-0050273,5,147
sub-0051178,5,147
sub-0050996,5,147
sub-0050791,0,53
sub-0051573,1,102
sub-29627,4,58
sub-29870,6,65
sub-30151,5,147
sub-28864,0,53
sub-29566,0,53
sub-0050301,0,53
sub-0050500,8,93
sub-28693,5,147
sub-29588,7,39
sub-0050312,0,53
sub-28835,1,102
sub-0050254,2,83
sub-29521,8,93
sub-0050743,1,102
sub-29099,2,83
sub-0050247,0,53
sub-29666,8,93
sub-0051301,6,65
sub-0050056,2,83
sub-0050249,0,53
sub-29794,8,93
sub-0050997,7,39
sub-0050527,1,102
sub-29393,2,83
sub-29281,0,53
sub-0050011,1,102
sub-29877,2,83
sub-28689,5,147
sub-0050403,5,147
sub-0050399,3,65
sub-0051025,5,147
sub-0050010,1,102
sub-0051201,2,83
sub-29059,3,65
sub-29208,6,65
sub-29015,1,102
sub-29886,6,65
sub-0050686,1,102
sub-0050965,8,93
sub-28843,1,102
sub-29508,1,102
sub-29734,7,39
sub-0050992,4,58
sub-0051032,8,93
sub-0051012,6,65
sub-0050627,6,65
sub-0051464,5,147
sub-0050297,1,102
sub-28844,1,102
sub-0051585,5,147
sub-29409,2,83
sub-0050128,5,147
sub-0050756,1,102
sub-0050516,4,58
sub-29740,3,65
sub-29068,5,147
sub-0051580,0,53
sub-0050960,6,65
sub-29216,5,147
sub-29043,6,65
sub-29667,6,65
sub-29435,1,102
sub-28874,6,65
sub-29549,1,102
sub-29066,6,65
sub-0050024,1,102
sub-0050253,2,83
sub-29109,2,83
sub-0050413,0,53
sub-0050498,8,93
sub-0050529,0,53
sub-0050314,4,58
sub-0050279,5,147
sub-0050412,8,93
sub-29660,7,39
sub-0051606,4,58
sub-0050981,8,93
sub-29214,3,65
sub-28800,8,93
sub-29543,6,65
sub-0050014,8,93
sub-28855,5,147
sub-29211,3,65
sub-0050744,1,102
sub-0050602,8,93
sub-29027,5,147
sub-0051014,8,93
sub-0051302,3,65
sub-28787,1,102
sub-28898,8,93
sub-29872,2,83
sub-0050988,8,93
sub-29670,4,58
sub-0050502,8,93
sub-29539,5,147
sub-29031,4,58
sub-30016,5,147
sub-29882,4,58
sub-0050952,5,147
sub-28905,1,102
sub-29063,5,147
sub-0050020,1,102
sub-0050991,4,58
sub-0050480,8,93
sub-0050004,8,93
sub-28865,6,65
sub-0050976,8,93
sub-30011,3,65
sub-0050824,5,147
sub-28890,4,58
sub-0050978,8,93
sub-0051019,2,83
sub-0050647,5,147
sub-0051582,1,102
sub-0050690,6,65
sub-0050496,8,93
sub-0050411,5,147
sub-0050282,6,65
sub-0051248,3,65
sub-29610,8,93
sub-29385,5,147
sub-28807,5,147
sub-0050186,6,65
sub-28941,3,65
sub-0051249,2,83
sub-0051293,8,93
sub-0051318,1,102
sub-29400,4,58
sub-0050027,0,53
sub-29735,1,102
sub-0050983,8,93
sub-29456,4,58
sub-0051292,8,93
sub-28873,5,147
sub-0050525,1,102
sub-29213,3,65
sub-0050008,5,147
sub-29540,3,65
sub-29553,1,102
sub-0051214,7,39
sub-29542,6,65
sub-0050289,4,58
sub-28838,3,65
sub-29477,3,65
sub-29797,2,83
sub-28679,8,93
sub-0050616,5,147
sub-0050119,0,53
sub-29064,0,53
sub-0050013,6,65
sub-28938,2,83
sub-0050287,2,83
sub-29285,4,58
sub-0050515,5,147
sub-29500,8,93
sub-0051015,1,102
sub-0051351,5,147
sub-29055,3,65
sub-0050689,1,102
sub-28972,3,65
sub-0050493,5,147
sub-28937,5,147
sub-0051007,8,93
sub-29434,4,58
sub-28691,4,58
sub-0050993,7,39
sub-0051162,1,102
sub-0050121,5,147
sub-30026,6,65
sub-0050187,5,147
sub-0050250,5,147
sub-29595,0,53
sub-0050532,5,147
sub-29497,1,102
sub-0050754,2,83
sub-0051583,5,147
sub-0050528,1,102
sub-0051170,6,65
sub-0050006,5,147
sub-29628,8,93
sub-29222,3,65
sub-28861,7,39
sub-28871,8,93
sub-0050152,7,39
sub-0050994,2,83
sub-29197,4,58
sub-0050131,1,102
sub-29115,2,83
sub-29677,3,65
sub-0050319,6,65
sub-0050324,2,83
sub-0050708,5,147
sub-29415,5,147
sub-28920,5,147
sub-0050694,6,65
sub-0051237,7,39
sub-0050320,0,53
sub-0051204,0,53
sub-0050485,4,58
sub-0050252,8,93
sub-28690,3,65
sub-0050025,1,102
sub-28908,2,83
sub-28887,8,93
sub-29515,1,102
sub-0050623,0,53
sub-0051241,5,147
sub-0051033,8,93
sub-29194,3,65
sub-29188,7,39
sub-0050272,5,147
sub-29389,3,65
sub-0050621,4,58
sub-28936,6,65
sub-0050803,8,93
sub-29516,5,147
sub-28935,7,39
sub-28810,0,53
sub-29482,2,83
sub-29561,0,53
sub-28718,6,65
sub-28677,8,93
sub-30021,3,65
sub-28924,2,83
sub-0050648,2,83
sub-29864,1,102
sub-0051206,5,147
sub-29344,4,58
sub-28930,5,147
sub-29274,8,93
sub-0050524,8,93
sub-29657,5,147
sub-29375,4,58
sub-29192,5,147
sub-29479,4,58
sub-0050696,1,102
sub-0050606,4,58
sub-0050124,2,83
sub-28897,2,83
sub-30148,6,65
sub-28789,1,102
sub-0051003,8,93
sub-0050987,5,147
sub-29416,3,65
sub-29624,2,83
sub-28962,8,93
sub-28675,7,39
sub-29196,3,65
sub-29212,0,53
sub-29796,5,147
sub-0051578,4,58
sub-28964,6,65
sub-0050604,2,83
sub-29105,7,39
sub-29603,5,147
sub-0050488,5,147
sub-0050284,4,58
sub-0050237,5,147
sub-0051023,6,65
sub-0050404,8,93
sub-0050697,8,93
sub-29398,8,93
sub-0051016,2,83
sub-0051329,6,65
sub-28869,6,65
sub-0051225,0,53
sub-28927,8,93
sub-28859,2,83
sub-0050012,3,65
sub-0050234,5,147
sub-29187,8,93
sub-0051208,8,93
sub-0050276,8,93
sub-29875,6,65
sub-0050397,5,147
sub-29200,0,53
sub-0050325,0,53
sub-29202,0,53
sub-0050497,1,102
sub-28695,1,102
sub-0050245,5,147
sub-0051009,0,53
sub-0051006,5,147
sub-0050406,3,65
sub-0051021,5,147
sub-0051323,8,93
sub-29873,8,93
sub-29060,7,39
sub-0051577,3,65
sub-28906,2,83
sub-0050982,6,65
sub-0050985,6,65
sub-29498,1,102
sub-30018,5,147
sub-28811,8,93
sub-0050962,5,147
sub-0050608,2,83
sub-29619,4,58
sub-0050477,8,93
sub-29221,1,102
sub-0050654,1,102
sub-0050149,4,58
sub-0050184,6,65
sub-28860,6,65
sub-29277,2,83
sub-0050612,7,39
sub-0050274,5,147
sub-29106,3,65
sub-28942,0,53
sub-0051221,5,147
sub-29885,6,65
sub-28952,5,147
sub-29376,0,53
sub-0051321,1,102
sub-0050236,2,83
sub-0050486,5,147
sub-0050251,5,147
sub-0050702,5,147
sub-0050752,4,58
sub-28694,2,83
sub-0051473,3,65
sub-0050490,8,93
sub-0050649,1,102
sub-29289,2,83
sub-0051177,3,65
sub-0050969,2,83
sub-29606,5,147
sub-29795,3,65
sub-29179,5,147
sub-0050989,5,147
sub-0050494,0,53
sub-0051236,0,53
sub-29662,1,102
sub-28840,6,65
sub-0050239,2,83
sub-0050290,4,58
sub-0050492,2,83
sub-29659,8,93
sub-29676,5,147
sub-29029,8,93
sub-0050015,8,93
sub-0051294,1,102
sub-0050144,5,147
sub-29731,0,53
sub-29866,1,102
sub-28896,5,147
sub-0050614,5,147
sub-29522,2,83
sub-28907,6,65
sub-0051319,0,53
sub-0051291,5,147
sub-0051220,8,93
sub-29392,2,83
sub-0050302,5,147
sub-0050757,6,65
sub-29107,6,65
sub-28901,2,83
sub-28875,6,65
sub-0051465,4,58
sub-0050755,5,147
sub-0051584,3,65
sub-29502,8,93
sub-28872,7,39
sub-29195,2,83
sub-29053,2,83
sub-29282,2,83
sub-0050693,3,65
sub-28995,4,58
sub-28987,5,147
sub-0050626,5,147
sub-28940,6,65
sub-28988,7,39
sub-0050798,4,58
sub-28688,2,83
sub-29207,1,102
sub-0050520,1,102
sub-0050958,2,83
sub-0051035,6,65
sub-29182,6,65
sub-0050183,1,102
sub-29678,8,93
sub-28879,8,93
sub-0050134,7,39
sub-29404,8,93
sub-0050143,6,65
sub-0050519,5,147
sub-0050972,6,65
sub-29629,2,83
sub-0050243,3,65
sub-0051024,5,147
sub-28966,6,65
sub-28876,2,83
sub-0050968,1,102
sub-29883,6,65
sub-28853,4,58
sub-28857,3,65
sub-29290,8,93
sub-29575,1,102
sub-0050966,1,102
sub-29633,6,65
sub-0051217,5,147
sub-0050240,3,65
sub-29191,8,93
sub-0050315,5,147
sub-0051215,5,147
sub-0050642,8,93
sub-0050016,2,83
sub-28997,4,58
sub-0051572,8,93
sub-29495,3,65
sub-29178,3,65
sub-29177,1,102
sub-0050619,5,147
sub-0051029,6,65
sub-0050298,1,102
sub-30028,2,83
sub-29112,6,65
sub-29510,1,102
sub-0050749,1,102
sub-0051168,1,102
sub-29800,5,147
sub-0050624,1,102
sub-28686,5,147
sub-0051224,1,102
sub-28884,7,39
sub-29223,8,93
sub-28899,8,93
sub-29613,1,102
sub-28696,5,147
sub-0050318,0,53
sub-28926,7,39
sub-0050188,7,39
sub-0050613,6,65
sub-0050499,5,147
sub-0050182,2,83
sub-29186,3,65
sub-30013,7,39
sub-0050523,1,102
sub-29867,2,83
sub-0050501,1,102
sub-28805,1,102
sub-29669,1,102
sub-0051020,1,102
sub-29041,5,147
sub-29511,2,83
sub-0050967,0,53
sub-0050294,3,65
sub-0051230,5,147
sub-0051163,1,102
sub-29623,1,102
sub-0050644,3,65
sub-29730,1,102
sub-29193,3,65
sub-29189,3,65
sub-28967,7,39
sub-29293,2,83
sub-0050007,4,58
sub-29220,7,39
sub-0051169,6,65
sub-29665,5,147
sub-29052,5,147
sub-29888,8,93
sub-0051354,5,147
sub-30017,1,102
sub-29288,5,147
sub-0050799,1,102
sub-29541,1,102
sub-29506,0,53
sub-0050957,4,58
sub-28831,8,93
sub-0051579,6,65
sub-28809,2,83
sub-29430,5,147
sub-0050255,1,102
sub-0050491,4,58
sub-29458,5,147
sub-28949,5,147
sub-29008,8,93
sub-29275,4,58
sub-0050622,1,102
sub-29114,5,147
sub-29116,3,65
sub-0051222,3,65
sub-0051322,8,93
sub-29070,7,39
sub-0051008,8,93
sub-28796,0,53
sub-30156,1,102
sub-0050132,5,147
sub-0050233,2,83
sub-29555,1,102
sub-29507,8,93
sub-29046,5,147
sub-29568,4,58
sub-29204,4,58
sub-0050146,2,83
sub-28820,8,93
sub-29286,4,58
sub-29509,7,39
sub-0050530,0,53
sub-0051001,5,147
sub-0051218,1,102
sub-29276,8,93
sub-0050275,8,93
sub-28676,1,102
sub-0051331,0,53
sub-28986,5,147
sub-29634,5,147
sub-29661,5,147
sub-29547,4,58
sub-28982,5,147
sub-28791,5,147
sub-28885,4,58
sub-0050410,8,93
sub-30001,3,65
sub-29104,3,65
sub-0051179,2,83
sub-28957,1,102
sub-28931,5,147
sub-28680,0,53
sub-0050961,7,39
sub-0051018,5,147
sub-0051300,1,102
sub-29732,2,83
sub-0051002,5,147
sub-29878,8,93
sub-28795,5,147
sub-29058,2,83
sub-0050504,3,65
sub-0050959,8,93
sub-29679,3,65
sub-0051027,2,83
sub-29185,3,65
sub-29198,7,39
sub-0050023,1,102
sub-0050127,5,147
sub-28903,1,102
sub-0050823,8,93
sub-0050487,7,39
sub-0050745,5,147
sub-0050956,3,65
sub-0050603,6,65
sub-29584,4,58
sub-28784,4,58
sub-0050514,3,65
sub-0050509,0,53
sub-0050482,0,53
sub-0050973,2,83
sub-29206,3,65
sub-0050711,0,53
sub-29113,2,83
sub-0051205,4,58
sub-0050407,5,147
sub-0050970,4,58
sub-29675,4,58
sub-0050190,5,147
sub-0051330,0,53
sub-29411,4,58
sub-0050695,5,147
sub-29544,7,39
sub-0050507,0,53
sub-0050995,5,147
sub-29205,1,102
sub-29210,5,147
sub-0050295,4,58
sub-28752,6,65
sub-0050189,6,65
sub-28808,2,83
